id,question,Answers
0,你可唔可以俾個有關潮樂園 (北角)嘅解釋我？佢係間潮州菜嚟。,"主廚來自台灣，曾供職于多個大樓內服務部門，在多年經驗中深得顧客讚賞；他以優雅、舒適及時尚為其招牌手法：如使用海鮮製成的小魚餃和小麵包等配搭湯底或醬汁烹調而成的新食譜;亦有選擇傳統粵式小吃作點心套餐,例如由糯米粉制成的手工糕餅與燒味品類等等."
1,你可唔可以俾個有關Andō嘅解釋我？佢係間創新菜嚟。,位於大廈頂樓的大廳內設了四個座位的小酒館，在這裡可以欣賞到海景及俯瞰整個城區景色；而當晚還供應各種美食選擇、美嘗小食等服務。「Ando」是由前「新鮮魚市場」店長兼厨师擔任總監的新品牌，其招牌菜品包括炸雞配香茅醬汁以及豬肉焗蝦球等等。
2,你可唔可以俾個有關Racines嘅解釋我？佢係間法國菜嚟。,位於中环外圍的一處老建築內，在此用餐既舒適又充滿歷史風味；而當中的每一道菜品都透露著來自巴黎的手藝細節：從手工製作到擺盤設計皆由專業手艺人完成……令人難忘！
3,你可唔可以俾個有關Sushi Wadatsumi嘅解釋我？佢係間壽司嚟。,位於港鐵西環站旁的小巷中，在此可欣賞到維多利亞街景點與各式各樣的日式小店：從傳統日籍店主設立的老店至新鮮創辦者經營之小食摊位不一而足;亦有供應各種美食的大賣場面。除了招牌菜單中的寿司外，還有許多其他特色小吃可供選擇。「佐」是其中最為重要的概念之一──即使用自家磨制的手工麵包配搭不同口味的地元醃肉或蔬菜等食材烹調而成的食物。
4,你可唔可以俾個有關L'Atelier de Joël Robuchon嘅解釋我？佢係間法國菜嚟。,位於維港邊緣的小巷里，在繁忙街道旁面臨著綠樹掩映的大草坪；用餐環境舒適宜人且氣氛輕鬆自在！店家選用了當地優質原料製作美食：由自家養殖牛隻制成的手切牛肉是招牌之一; 餐廳亦出售各種手作糕點以及精緻咖啡...
5,你可唔可以俾個有關浙江軒嘅解釋我？佢係間浙江菜嚟。,浙商家族開設，以傳統烹調手法及優質食材為主張；選料精緻、味道濃郁且價格合理，在家鄉味十足的地標之一！除了招牌點心「大蝦羹」外，還有各式各樣的小吃和小食套餐等選擇：如蟹粉蒸扇贝配鮮蘑菇汁或清炒海螺絲等等均值得一試!
6,你可唔可以俾個有關悅嘅解釋我？佢係間粵菜嚟。,"位於老街巷口的小店，在午市時間內人聲鼎沸；晚上則客滿為患！店主兼厨师陳志明自幼習學炒麵技術後便開設了第一家分店，并一直堅持以手工製作面食。「我們不只賣食材」的理念貫穿整體經營：從進貨開始就由自家農場直接運送到廠區加工生產，並根據客戶要求進行調整配方或改刀切配處理方式……每一道工序都經過嚴謬把關才下線成品。此外還有各式各樣的手工甜品與茶飲可供选择。
Restaurant 3: 門前記 (尖沙咀) // Description: 廚外牆上的畫作「風景圖」展示了港島美景──海天相接的地方令人神往不已;門窗旁邊掛著多幅來自日本的老照片——這些都是當代藝術家中留下的珍藏之作!餐室設計簡約而不失格调，木制家具搭配深色地板以及高檔布艺沙发，透露着優雅氣派。主打日籍師傅料理風格，其中不乏創意十足的新嘗佳餚。"
7,你可唔可以俾個有關廚魔名人坊嘅解釋我？佢係間粵菜嚟。,位於大廈二樓的大廳空間充滿華麗氣派，在此可欣賞到經典中式裝潢所帶來之風情：精緻細膶的地燈配搭燉湯爐架出濃郁煙霧;牆壁掛著多幅中國畫作或古籍插圖……令人油然而生懷舊之情！主厨曾從世界各地搜羅當代美食供應本地客人享用──包括日本料理以及來自台灣的新品小吃等等。
8,你可唔可以俾個有關麥文記嘅解釋我？佢係間麵食嚟。,位於維港旁邊的小巷中，在這裡可以一睹餐館內部設計之美——牆上的畫作與燈飾都充滿藝術感; 而用餐環境也十分優雅敞亮。主廚以本地食材烹調各式點心並加入時令配料，例如由當地農民採購的新穎肉類別如雞蛋花或海膽粉等等，并搭配傳統法式做法制成的手藝小食品供應選項甚豐盛。「大鍋」套餐包含五道菜品──包括烤羊腿及其伴隨蔬菜沙律以及燉燒蟹蓋……每一道都是經典配方重新詮釋後的作品!
9,你可唔可以俾個有關紅磡雞蛋仔嘅解釋我？佢係間街頭小吃嚟。,"店名取義為「兩姐妹」（指店主和其妻），意謂小店以服務雙胞胎女主人著稱；店内裝潢則採用了藍色調飾木製桌椅以及綠葉布藝圍繞四周，在柔和舒適中帶點懷舊氣息。

这家小菜館主要供應本地特色美食：炸魚薯條與燒烤三黃牛腩都是不容錯過的选择！此外還有各式各樣的小吃，例如炒麵類別繁複且各有風格──有時令蔬菜燉湯配上豬肉或牛肉粉底料烹煮而成的新鮮米飯等等……值得一試的地方是廚師室內設計精緻優雅，并附置大量歷史資料展示品項——其中包含一張由日本傳奇畫师手繪的手稿圖案展覽會場照片!"
