id,question,Answers
0,你可唔可以俾個有關潮樂園 (北角)嘅解釋我？佢係間潮州菜嚟。,位於酒店內，室内外裝潢均以木製元素為主：牆身、天花和桌椅都採用了原色木材製作；窗戶則配搭了手工玻璃雕花飾品及燈光設計，在自然光源下更顯明亮通透！廚師團隊經驗豐富且技術精湛，烹調出地道而美味的新式粵味佳餚與傳統特色小吃等美食供客人享用。其中招牌小食包括炸子雞（需預訂）、蝦籽撈麵以及魚皮煎蛋卷等等。
1,你可唔可以俾個有關Andō嘅解釋我？佢係間創新菜嚟。,位於酒店頂樓、佔地三層的大廳兼用餐區採現代風格裝潢；包廂內設置了投影幕及揚聲器系統，在享用美食時可欣賞到電影或音樂表演等節目內容（需另付費用）。供應來自全球各地的新派日料：海鮮刺身配搭精緻醬汁佐吃飯米粒彈出的小巧手藝令人印象深刻！此外還有大量素食選擇以及無麩質料理可供挑选。
2,你可唔可以俾個有關Racines嘅解釋我？佢係間法國菜嚟。,由曾獲頒大獎的新加坡名師掌舵，在此可享到地道且價格實惠的地中海美食：來自西班牙馬德里的肉桂卷餅皮薄而彈牙；鮮蟹腳配上濃郁醬汁令人回味無窮……此外還有各式各樣的手工意粉供應！
3,你可唔可以俾個有關Sushi Wadatsumi嘅解釋我？佢係間壽司嚟。,位於酒店地下層，在地庫入口處設有接待櫃檯供客人預留座位或查詢相關事宜：建議提前電話確認並按指示前往吧！餐館裝潢簡約而舒適，牆上掛滿藝術作品增添品味格調。「三文治」是店名中的「WADATSUMI（志）」一詞拆解而成的意思——意指對食材品質的要求不亞于制作工藝之精湛程度。“鮑鱼”、“金枪鱔尾子蟹肉卷”，以及“黑松露芝士焗牛肋骨排”的口感與滋味令人回味無窮……菜單上的每一款都是主厨精心烹制的心血之作!
4,你可唔可以俾個有關L'Atelier de Joël Robuchon嘅解釋我？佢係間法國菜嚟。,由Joel Robichaud設計室操刀裝潢，在細心入微的小節見到其巧思：牆上的鏡框藏著電掣；吧檯後方是書架兼作儲存空間……每一個角落都充滿心思！除了令人垂涎三尺的食物（尤其是他家招牌魚肉燜），服務員更會向客人介紹當季特色美食或推介新鮮進貨之產品——不妨留意一下呢!
5,你可唔可以俾個有關浙江軒嘅解釋我？佢係間浙江菜嚟。,"位於酒店頂樓，窗外景色優美；室內設計簡約時尚、舒適明亮，在此用餐可欣賞到廚師烹調美食過程及海景！主厨擅長浙式小炒和經典名點小吃等傳統菜肴：如香煎蝦籽魚皮卷配秘製醬汁（需預訂）、蟹粉豆腐羹以及油爆河虾仁等等均值得一試。「醉龍」則是招牌酒品之一。
//"
6,你可唔可以俾個有關悅嘅解釋我？佢係間粵菜嚟。,位於酒店頂樓，在維港兩岸美景襯托下用餐更添浪漫氣氛；但座位有限且需預訂才可入座（建議提早查詢），故宜作好安排！餐室以玻璃牆隔開兩個區域：一邊為開放式的吧枱區位設有海景視野兼備優雅設計的小型餐桌椅組合，另一邊則坐擁無敵城市天際線景色並配搭豪奢佈置與高級傢具陳列品——適合慶祝重要日子或宴客之處。「午市套餐」價格實惠、「晚膳單人禮遇套票」內含多道佳餚以及飲食券優惠不容錯過……各式各樣可供挑戰嘗試不同口味層次的食物琳瑤滿目。（附註︰因疫情關係部分服務可能有所變動）
7,你可唔可以俾個有關廚魔名人坊嘅解釋我？佢係間粵菜嚟。,位於摩納哥大廈八樓，在地標建築物旁邊用餐更添尊貴氣息！開放式的烹調區前座無不令人屏住呼吸欣賞主chef精湛技巧：他會即席展示經典深井鹽焗雞及其他多款膾炙人口的小吃美食。「小籠包」系列是店家引以為傲的作品之一——除了供應各式口味之外（包括芝士鹹蛋黃），還可按客人要求配搭自訂醬料或醋嘗味……難怪吸引到不少饕餮之徒光顧捧場呢!
8,你可唔可以俾個有關麥文記嘅解釋我？佢係間麵食嚟。,創辦人曾為大廚，在此之前已擁有多年經驗並擅長烹調中式傳統小炒如雞粒焗蟹蓋（需預訂）以及各式各樣的小吃點心。他以本地食材配合獨門秘方炮制出一眾經典小吃與時令佳肴供客人享用。「麥叔」名稱來自其姓氏加上「快遞送達至您餐桌前後僅數分鐘之餘！」之意涵而得來——從選料到加工都親力處理確保食物的新鲜度兼且保持原汁本色的味道不變質。
9,你可唔可以俾個有關紅磡雞蛋仔嘅解釋我？佢係間街頭小吃嚟。,開業逾三十年的老字號店舖，在地鐵站旁邊佔出一隅空間供應各式各樣的小吃：鹹軋果（包括芝麻和椰子）、糯米糍以及以豬油浸過而味道濃郁的新鮮叉燒……不論是老饕還是初嘗此道風情的人士都難免垂涎三尺！
